cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning,odor_x_waste,crowding_index,complaint_rate,hours_norm,location_Bangalore,location_Chennai,location_Delhi,location_Kolkata,location_Mumbai,location_Pune,facility_type_Bus Stand,facility_type_Hospital,facility_type_Market,facility_type_Park,facility_type_Public Toilet,facility_type_Railway Station
4.3,4.3,1.8,6,479,20.3,7.74,90.37735849056604,0.0125,0.8458333333333333,False,False,True,False,False,False,False,False,False,True,False,False
4.5,4.7,1.7,4,441,13.3,7.99,80.18181818181819,0.00904977375565611,0.5541666666666667,False,False,False,False,True,False,False,False,False,True,False,False
8.4,5.5,4.4,4,112,8.7,24.200000000000003,11.914893617021276,0.035398230088495575,0.3625,False,False,False,False,True,False,False,False,False,True,False,False
6.7,6.2,3.7,5,268,15.4,22.94,34.8051948051948,0.01858736059479554,0.6416666666666667,False,True,False,False,False,False,True,False,False,False,False,False
6.8,9.7,3.6,0,271,32.0,34.92,34.743589743589745,0.0,1.3333333333333333,False,False,False,False,True,False,True,False,False,False,False,False
3.3,2.5,3.7,6,218,9.4,9.25,50.697674418604656,0.0273972602739726,0.39166666666666666,False,True,False,False,False,False,True,False,False,False,False,False
8.0,3.9,2.7,4,109,12.2,10.530000000000001,12.11111111111111,0.03636363636363636,0.5083333333333333,False,False,False,False,False,True,False,False,True,False,False,False
4.2,4.4,2.9,5,584,20.9,12.76,112.3076923076923,0.008547008547008548,0.8708333333333332,False,False,True,False,False,False,False,False,True,False,False,False
6.6,7.7,6.3,4,451,18.3,48.51,59.3421052631579,0.008849557522123894,0.7625000000000001,False,True,False,False,False,False,False,False,False,False,True,False
4.4,7.6,5.6,5,195,14.7,42.559999999999995,36.11111111111111,0.025510204081632654,0.6124999999999999,False,True,False,False,False,False,True,False,False,False,False,False
6.9,4.8,4.9,3,420,21.3,23.52,53.164556962025316,0.007125890736342043,0.8875000000000001,False,False,True,False,False,False,False,False,False,False,False,True
5.5,7.9,7.0,3,438,22.0,55.300000000000004,67.38461538461539,0.00683371298405467,0.9166666666666666,True,False,False,False,False,False,True,False,False,False,False,False
3.2,4.0,6.4,4,339,13.6,25.6,80.71428571428571,0.011764705882352941,0.5666666666666667,True,False,False,False,False,False,False,False,True,False,False,False
4.6,7.1,4.1,8,376,10.5,29.109999999999996,67.14285714285715,0.021220159151193633,0.4375,False,False,True,False,False,False,False,False,True,False,False,False
10.0,5.3,4.7,0,337,13.5,24.91,30.636363636363637,0.0,0.5625,False,True,False,False,False,False,False,False,False,True,False,False
